date,time,price
2024-06-10, 12:00:00 ,69424 
2024-06-10, 13:00:00 ,69318 
2024-06-10, 14:00:00 ,69364 
2024-06-10, 15:00:00 ,69632 
2024-06-10, 16:00:00 ,70046 
2024-06-10, 17:00:00 ,69954 
2024-06-10, 18:00:00 ,70036 
2024-06-10, 19:00:00 ,69840 
2024-06-10, 20:00:00 ,69471 
2024-06-10, 21:00:00 ,69600 
2024-06-10, 22:00:00 ,69544 
2024-06-10, 23:00:00 ,69450 
2024-06-11, 00:00:00 ,69492 
2024-06-11, 01:00:00 ,69376 
2024-06-11, 02:00:00 ,68640 
2024-06-11, 03:00:00 ,68146 
2024-06-11, 04:00:00 ,68376 
2024-06-11, 05:00:00 ,67942 
2024-06-11, 06:00:00 ,67822 
2024-06-11, 07:00:00 ,67598 
2024-06-11, 08:00:00 ,67476 
2024-06-11, 09:00:00 ,67440 
2024-06-11, 10:00:00 ,67005 
2024-06-11, 11:00:00 ,66882 
2024-06-11, 12:00:00 ,66797 
2024-06-11, 13:00:00 ,66980 
2024-06-11, 14:00:00 ,66764 
2024-06-11, 15:00:00 ,66800 
2024-06-11, 16:00:00 ,66194 
2024-06-11, 17:00:00 ,66450 
2024-06-11, 18:00:00 ,66724 
2024-06-11, 19:00:00 ,67087 
2024-06-11, 20:00:00 ,67372 
2024-06-11, 21:00:00 ,67264 
2024-06-11, 22:00:00 ,67358 
2024-06-11, 23:00:00 ,67340 
2024-06-12, 00:00:00 ,67276 
2024-06-12, 01:00:00 ,67173 
2024-06-12, 02:00:00 ,67150 
2024-06-12, 03:00:00 ,67384 
2024-06-12, 04:00:00 ,67378 
2024-06-12, 05:00:00 ,67438 
2024-06-12, 06:00:00 ,67227 
2024-06-12, 07:00:00 ,67252 
2024-06-12, 08:00:00 ,67420 
2024-06-12, 09:00:00 ,67372 
2024-06-12, 10:00:00 ,67730 
2024-06-12, 11:00:00 ,67950 
2024-06-12, 12:00:00 ,67742 
2024-06-12, 13:00:00 ,69333 
2024-06-12, 14:00:00 ,69316 
2024-06-12, 15:00:00 ,69958 
2024-06-12, 16:00:00 ,69722 
2024-06-12, 17:00:00 ,69594 
2024-06-12, 18:00:00 ,69774 
2024-06-12, 19:00:00 ,68786 
2024-06-12, 20:00:00 ,67502 
2024-06-12, 21:00:00 ,68046 
2024-06-12, 22:00:00 ,68472 
2024-06-12, 23:00:00 ,68292 
2024-06-13, 00:00:00 ,68216 
2024-06-13, 01:00:00 ,68278 
2024-06-13, 02:00:00 ,67924 
2024-06-13, 03:00:00 ,67708 
2024-06-13, 04:00:00 ,67417 
2024-06-13, 05:00:00 ,67286 
2024-06-13, 06:00:00 ,67548 
2024-06-13, 07:00:00 ,67475 
2024-06-13, 08:00:00 ,67676 
2024-06-13, 09:00:00 ,67522 
2024-06-13, 10:00:00 ,67382 
2024-06-13, 11:00:00 ,67789 
2024-06-13, 12:00:00 ,67692 
