date,time,price
2024-06-22, 18:35:00 ,64258 
2024-06-22, 18:40:00 ,64258 
2024-06-22, 18:45:00 ,64239 
2024-06-22, 18:50:00 ,64228 
2024-06-22, 18:55:00 ,64228 
2024-06-22, 19:00:00 ,64205 
2024-06-22, 19:05:00 ,64205 
2024-06-22, 19:10:00 ,64205 
2024-06-22, 19:15:00 ,64194 
2024-06-22, 19:20:00 ,64226 
2024-06-22, 19:25:00 ,64197 
2024-06-22, 19:30:00 ,64192 
2024-06-22, 19:35:00 ,64172 
2024-06-22, 19:40:00 ,64187 
2024-06-22, 19:45:00 ,64210 
2024-06-22, 19:50:00 ,64219 
2024-06-22, 19:55:00 ,64224 
2024-06-22, 20:00:00 ,64225 
2024-06-22, 20:05:00 ,64226 
2024-06-22, 20:10:00 ,64226 
2024-06-22, 20:15:00 ,64212 
2024-06-22, 20:20:00 ,64237 
2024-06-22, 20:25:00 ,64237 
2024-06-22, 20:30:00 ,64228 
2024-06-22, 20:35:00 ,64211 
2024-06-22, 20:40:00 ,64202 
2024-06-22, 20:45:00 ,64200 
2024-06-22, 20:50:00 ,64200 
2024-06-22, 20:55:00 ,64218 
2024-06-22, 21:00:00 ,64238 
2024-06-22, 21:05:00 ,64217 
2024-06-22, 21:10:00 ,64231 
2024-06-22, 21:15:00 ,64231 
2024-06-22, 21:20:00 ,64244 
2024-06-22, 21:25:00 ,64248 
2024-06-22, 21:30:00 ,64256 
2024-06-22, 21:35:00 ,64238 
2024-06-22, 21:40:00 ,64238 
2024-06-22, 21:45:00 ,64230 
2024-06-22, 21:50:00 ,64230 
2024-06-22, 21:55:00 ,64264 
2024-06-22, 22:00:00 ,64271 
2024-06-22, 22:05:00 ,64271 
2024-06-22, 22:10:00 ,64240 
2024-06-22, 22:15:00 ,64240 
2024-06-22, 22:20:00 ,64259 
2024-06-22, 22:25:00 ,64249 
2024-06-22, 22:30:00 ,64254 
2024-06-22, 22:35:00 ,64262 
2024-06-22, 22:40:00 ,64262 
2024-06-22, 22:45:00 ,64262 
2024-06-22, 22:50:00 ,64262 
2024-06-22, 22:55:00 ,64262 
2024-06-22, 23:00:00 ,64274 
2024-06-22, 23:05:00 ,64274 
2024-06-22, 23:10:00 ,64274 
2024-06-22, 23:15:00 ,64280 
2024-06-22, 23:20:00 ,64286 
2024-06-22, 23:25:00 ,64286 
2024-06-22, 23:30:00 ,64286 
2024-06-22, 23:35:00 ,64266 
2024-06-22, 23:40:00 ,64238 
2024-06-22, 23:45:00 ,64224 
2024-06-22, 23:50:00 ,64224 
2024-06-22, 23:55:00 ,64232 
2024-06-23, 00:00:00 ,64224 
2024-06-23, 00:05:00 ,64236 
2024-06-23, 00:10:00 ,64278 
2024-06-23, 00:15:00 ,64292 
2024-06-23, 00:20:00 ,64306 
2024-06-23, 00:25:00 ,64310 
2024-06-23, 00:30:00 ,64300 
2024-06-23, 00:35:00 ,64385 
2024-06-23, 00:40:00 ,64402 
2024-06-23, 00:45:00 ,64429 
2024-06-23, 00:50:00 ,64462 
2024-06-23, 00:55:00 ,64404 
